iter	Passed	Remaining
0	178	178741
1	179	89814
2	181	60152
3	181	45281
4	182	36360
5	183	30439
6	184	26185
7	185	23052
8	186	20564
9	187	18570
10	188	16940
11	189	15581
12	190	14429
13	190	13444
14	191	12589
15	192	11840
16	193	11196
17	194	10620
18	196	10125
19	197	9653
20	197	9224
21	198	8833
22	199	8475
23	200	8147
24	201	7845
25	202	7568
26	202	7310
27	203	7073
28	204	6850
29	205	6643
30	206	6450
31	207	6268
32	208	6098
33	208	5936
34	209	5786
35	210	5642
36	211	5506
37	212	5376
38	213	5253
39	214	5136
40	214	5024
41	215	4919
42	216	4817
43	217	4721
44	218	4628
45	218	4539
46	219	4454
47	220	4380
48	221	4306
49	222	4232
50	223	4160
51	224	4093
52	225	4027
53	226	3963
54	227	3902
55	228	3843
56	228	3786
57	229	3731
58	230	3677
59	231	3625
60	232	3575
61	233	3528
62	234	3482
63	235	3443
64	236	3402
65	237	3359
66	238	3318
67	239	3278
68	240	3239
69	240	3201
70	241	3165
71	242	3129
72	243	3094
73	244	3060
74	245	3026
75	246	2995
76	247	2963
77	248	2932
78	250	2915
79	251	2890
80	252	2864
81	253	2839
82	254	2808
83	255	2781
84	256	2756
85	257	2732
86	258	2708
87	259	2684
88	260	2661
89	260	2637
90	261	2614
91	262	2592
92	263	2572
93	264	2552
94	265	2532
95	266	2511
96	267	2491
97	268	2472
98	269	2453
99	270	2434
100	271	2416
101	272	2398
102	273	2380
103	274	2363
104	275	2347
105	276	2331
106	277	2315
107	278	2300
108	279	2284
109	280	2269
110	281	2253
111	282	2237
112	283	2222
113	283	2206
114	284	2191
115	285	2178
116	286	2163
117	287	2150
118	288	2138
119	289	2125
120	290	2111
121	291	2098
122	292	2087
123	293	2075
124	294	2062
125	295	2050
126	296	2037
127	297	2025
128	298	2014
129	299	2003
130	300	1992
131	301	1981
132	302	1970
133	303	1959
134	304	1948
135	304	1937
136	305	1926
137	306	1916
138	307	1906
139	308	1895
140	309	1885
141	310	1873
142	310	1863
143	311	1853
144	312	1843
145	313	1833
146	314	1823
147	315	1813
148	315	1804
149	316	1795
150	317	1785
151	318	1776
152	319	1767
153	320	1759
154	321	1750
155	321	1741
156	322	1732
157	323	1724
158	324	1715
159	325	1707
160	325	1697
161	326	1688
162	327	1680
163	328	1672
164	329	1665
165	329	1657
166	330	1649
167	331	1641
168	332	1634
169	333	1626
170	334	1619
171	335	1612
172	335	1605
173	336	1598
174	337	1591
175	338	1584
176	339	1577
177	340	1570
178	340	1563
179	341	1557
180	343	1552
181	344	1546
182	345	1540
183	345	1533
184	346	1527
185	347	1521
186	348	1515
187	349	1509
188	350	1503
189	351	1497
190	352	1491
191	353	1485
192	353	1479
193	354	1473
194	355	1467
195	356	1462
196	357	1456
197	358	1450
198	359	1445
199	359	1439
200	360	1434
201	361	1428
202	362	1423
203	363	1418
204	364	1413
205	365	1407
206	366	1402
207	366	1396
208	367	1391
209	368	1386
210	369	1381
211	370	1376
212	371	1371
213	372	1366
214	372	1361
215	373	1356
216	374	1351
217	375	1346
218	376	1341
219	377	1336
220	377	1332
221	378	1327
222	379	1322
223	380	1318
224	381	1313
225	382	1309
226	383	1304
227	384	1300
228	385	1296
229	385	1291
230	386	1287
231	387	1283
232	388	1279
233	389	1274
234	390	1270
235	391	1266
236	392	1262
237	392	1258
238	393	1253
239	394	1249
240	395	1245
241	396	1241
242	397	1237
243	398	1233
244	398	1229
245	399	1225
246	400	1221
247	401	1217
248	402	1213
249	403	1209
250	404	1205
251	404	1201
252	405	1198
253	406	1194
254	407	1190
255	408	1186
256	428	1237
257	429	1234
258	430	1230
259	430	1226
260	431	1222
261	432	1218
262	433	1214
263	434	1210
264	434	1206
265	435	1202
266	436	1198
267	437	1195
268	438	1191
269	439	1187
270	440	1183
271	440	1180
272	441	1176
273	442	1172
274	443	1169
275	444	1165
276	445	1161
277	445	1158
278	446	1154
279	447	1150
280	448	1147
281	449	1143
282	449	1139
283	450	1136
284	451	1132
285	452	1129
286	453	1126
287	454	1122
288	455	1119
289	456	1116
290	456	1113
291	457	1109
292	458	1106
293	459	1103
294	460	1100
295	461	1096
296	461	1093
297	462	1090
298	463	1087
299	464	1083
300	465	1080
301	466	1077
302	467	1074
303	467	1071
304	468	1068
305	469	1064
306	470	1061
307	471	1058
308	471	1055
309	472	1052
310	473	1049
311	474	1046
312	475	1043
313	476	1040
314	476	1037
315	477	1034
316	478	1031
317	479	1028
318	480	1025
319	481	1023
320	482	1020
321	483	1017
322	484	1015
323	485	1012
324	486	1009
325	486	1006
326	487	1004
327	489	1001
328	490	999
329	490	996
330	491	994
331	492	991
332	493	989
333	495	987
334	496	985
335	497	983
336	498	980
337	499	977
338	499	974
339	500	972
340	501	969
341	502	966
342	503	963
343	503	961
344	504	958
345	505	955
346	506	952
347	507	950
348	508	947
349	508	945
350	509	942
351	510	940
352	511	937
353	512	934
354	513	932
355	513	929
356	514	927
357	515	924
358	516	922
359	517	919
360	518	916
361	518	914
362	519	911
363	520	909
364	521	907
365	522	904
366	523	902
367	524	900
368	524	897
369	525	895
370	526	892
371	527	890
372	528	887
373	528	885
374	529	882
375	530	880
376	531	878
377	532	875
378	532	873
379	533	870
380	534	868
381	535	866
382	536	863
383	537	861
384	537	859
385	538	857
386	539	854
387	540	852
388	541	850
389	542	847
390	542	845
391	543	843
392	544	840
393	545	838
394	546	836
395	546	834
396	547	832
397	548	829
398	549	827
399	550	825
400	551	823
401	552	821
402	553	819
403	554	817
404	554	815
405	555	813
406	556	811
407	557	808
408	558	806
409	559	804
410	560	802
411	560	800
412	561	798
413	562	796
414	563	794
415	564	792
416	565	790
417	566	788
418	567	786
419	568	784
420	569	782
421	569	780
422	570	778
423	571	776
424	572	774
425	573	772
426	574	770
427	575	768
428	575	766
429	576	764
430	577	762
431	578	760
432	579	758
433	580	756
434	581	754
435	582	752
436	583	751
437	583	749
438	584	747
439	585	745
440	586	743
441	587	741
442	587	739
443	588	737
444	589	735
445	590	733
446	591	731
447	592	729
448	592	727
449	593	725
450	594	723
451	595	721
452	596	719
453	597	718
454	597	716
455	598	714
456	599	712
457	600	710
458	601	708
459	601	706
460	602	704
461	603	702
462	604	700
463	605	699
464	605	697
465	606	695
466	607	693
467	608	691
468	609	689
469	610	687
470	610	685
471	611	684
472	612	682
473	613	680
474	614	678
475	614	676
476	615	675
477	616	673
478	617	671
479	618	669
480	619	668
481	619	666
482	620	664
483	621	662
484	622	660
485	623	659
486	624	657
487	625	656
488	626	654
489	627	652
490	627	651
491	628	649
492	629	647
493	630	645
494	631	644
495	632	642
496	633	640
497	634	639
498	634	637
499	635	635
500	636	633
501	637	632
502	638	630
503	639	629
504	639	627
505	640	625
506	641	623
507	642	622
508	643	620
509	644	618
510	644	617
511	645	615
512	646	613
513	647	612
514	648	610
515	648	608
516	649	606
517	650	605
518	651	603
519	652	601
520	652	600
521	653	598
522	654	597
523	655	595
524	656	593
525	657	592
526	657	590
527	658	588
528	659	587
529	660	585
530	661	583
531	661	582
532	662	580
533	663	579
534	664	577
535	665	575
536	665	574
537	666	572
538	667	571
539	668	569
540	669	567
541	670	566
542	670	564
543	671	563
544	672	561
545	673	559
546	674	558
547	674	556
548	675	555
549	676	553
550	677	551
551	678	550
552	678	548
553	679	547
554	680	545
555	681	544
556	682	542
557	683	541
558	683	539
559	684	538
560	685	536
561	686	534
562	687	533
563	687	531
564	688	530
565	689	528
566	690	527
567	691	525
568	691	524
569	692	522
570	693	521
571	694	519
572	695	517
573	695	516
574	696	515
575	697	513
576	698	512
577	699	510
578	700	509
579	701	507
580	701	506
581	702	504
582	703	503
583	704	501
584	705	500
585	705	498
586	706	497
587	707	495
588	708	494
589	709	492
590	709	491
591	710	489
592	711	488
593	712	486
594	713	485
595	714	484
596	714	482
597	715	481
598	716	479
599	717	478
600	717	476
601	718	475
602	719	473
603	720	472
604	721	470
605	721	469
606	722	467
607	723	466
608	724	465
609	725	463
610	726	462
611	726	460
612	727	459
613	728	458
614	729	456
615	730	455
616	730	453
617	731	452
618	732	450
619	733	449
620	734	448
621	734	446
622	735	445
623	736	443
624	737	442
625	738	441
626	739	439
627	739	438
628	740	436
629	741	435
630	742	434
631	743	432
632	743	431
633	744	429
634	745	428
635	746	427
636	746	425
637	747	424
638	748	422
639	749	421
640	750	420
641	750	418
642	751	417
643	752	416
644	753	414
645	754	413
646	755	412
647	755	410
648	756	409
649	757	407
650	758	406
651	759	405
652	759	403
653	760	402
654	761	401
655	762	399
656	763	398
657	763	397
658	764	395
659	765	394
660	766	392
661	767	391
662	767	390
663	768	389
664	769	387
665	770	386
666	771	385
667	772	383
668	772	382
669	773	381
670	774	379
671	775	378
672	775	377
673	776	375
674	777	374
675	778	373
676	779	371
677	779	370
678	780	369
679	781	367
680	782	366
681	783	365
682	784	363
683	784	362
684	785	361
685	786	360
686	787	358
687	788	357
688	788	356
689	789	354
690	790	353
691	791	352
692	792	350
693	792	349
694	793	348
695	794	347
696	795	345
697	796	344
698	796	343
699	797	341
700	798	340
701	799	339
702	800	338
703	800	336
704	801	335
705	802	334
706	803	332
707	804	331
708	804	330
709	805	329
710	806	327
711	807	326
712	808	325
713	808	324
714	810	322
715	811	321
716	812	320
717	813	319
718	813	318
719	814	316
720	819	316
721	820	315
722	820	314
723	821	313
724	822	312
725	823	310
726	824	309
727	825	308
728	826	307
729	827	305
730	827	304
731	828	303
732	829	302
733	830	300
734	831	299
735	832	298
736	833	297
737	833	296
738	834	294
739	835	293
740	836	292
741	837	291
742	838	289
743	839	288
744	840	287
745	841	286
746	842	285
747	842	283
748	843	282
749	844	281
750	845	280
751	846	279
752	847	277
753	847	276
754	848	275
755	849	274
756	850	273
757	851	271
758	852	270
759	854	269
760	855	268
761	856	267
762	857	266
763	857	265
764	858	263
765	859	262
766	860	261
767	861	260
768	862	259
769	863	257
770	864	256
771	865	255
772	865	254
773	866	253
774	867	251
775	868	250
776	869	249
777	870	248
778	871	247
779	872	246
780	873	244
781	874	243
782	875	242
783	876	241
784	877	240
785	878	239
786	878	237
787	879	236
788	880	235
789	881	234
790	883	233
791	884	232
792	885	231
793	885	229
794	886	228
795	887	227
796	888	226
797	889	225
798	890	224
799	891	222
800	892	221
801	893	220
802	894	219
803	894	218
804	895	217
805	897	215
806	898	214
807	899	213
808	900	212
809	901	211
810	902	210
811	903	209
812	903	207
813	904	206
814	905	205
815	906	204
816	907	203
817	908	202
818	909	200
819	910	199
820	911	198
821	912	197
822	913	196
823	914	195
824	915	194
825	916	193
826	917	191
827	918	190
828	919	189
829	920	188
830	921	187
831	922	186
832	923	185
833	924	184
834	925	182
835	926	181
836	927	180
837	928	179
838	929	178
839	930	177
840	931	176
841	932	174
842	933	173
843	934	172
844	935	171
845	936	170
846	937	169
847	938	168
848	939	167
849	940	166
850	941	164
851	942	163
852	943	162
853	944	161
854	945	160
855	946	159
856	947	158
857	948	157
858	949	155
859	950	154
860	951	153
861	952	152
862	953	151
863	954	150
864	955	149
865	956	148
866	957	146
867	958	145
868	959	144
869	960	143
870	961	142
871	962	141
872	962	140
873	963	138
874	964	137
875	965	136
876	966	135
877	967	134
878	968	133
879	969	132
880	969	131
881	970	129
882	971	128
883	972	127
884	973	126
885	974	125
